pair,file,duplicate_of,symbol,timeframe,session,session_timezone,session_exit_enabled,direction,model,risk_pct,target_r,trades,open_trades,net_zar,pf,win_pct,dd_pct,payoff,break_even_pct,mean_budget_r,common_start,common_end,common_trades,common_pf,late_trades,late_pf,issues
AUDJPY,Strategy Tester Results/AUDJPY/ORB_ICT_Backtest_v1_OANDA_AUDJPY_2026-09-14 (1).xlsx,,OANDA:AUDJPY,15 minutes,Asian,Europe/London,Off,Both,Close breakout,10,2.75,110,0,821.4,1.010643296283463,30.909090909090907,74.42,2.259085015221859,30.683458557521732,0.143755347701551,2026-07-26T23:00:00,2026-09-14T20:00:00,35,0.9266557363244325,11,1.016932573975537,
AUDJPY,Strategy Tester Results/AUDJPY/ORB_ICT_Backtest_v1_OANDA_AUDJPY_2026-09-14 (2).xlsx,,OANDA:AUDJPY,30 minutes,Asian,Europe/London,Off,Both,Close breakout,10,2.75,25,1,12881.21,1.40573826775979,40.0,38.92,2.108607401639685,32.168745383303595,0.49055821796129145,2026-07-26T23:00:00,2026-09-14T20:00:00,0,,0,,
AUDJPY,Strategy Tester Results/AUDJPY/ORB_ICT_Backtest_v1_OANDA_AUDJPY_2026-09-14 (3).xlsx,,OANDA:AUDJPY,30 minutes,Asian,Europe/London,Off,Long only,Close breakout,10,2.75,17,1,16586.69,1.9156803696578069,47.05882352941176,25.15,2.155140415865033,31.69431049634708,0.7528473693772924,2026-07-26T23:00:00,2026-09-14T20:00:00,0,,0,,
AUDJPY,Strategy Tester Results/AUDJPY/ORB_ICT_Backtest_v1_OANDA_AUDJPY_2026-09-14 (4).xlsx,,OANDA:AUDJPY,5 minutes,Asian,Europe/London,Off,Short only,Close breakout,10,2.75,15,0,1488.6,1.115330859281182,33.33333333333333,27.28,2.2306617185623643,30.95341100723468,0.23666708418623056,2026-07-26T23:00:00,2026-09-14T20:00:00,15,1.3479932480161654,7,1.09199017793045,
AUDJPY,Strategy Tester Results/AUDJPY/ORB_ICT_Backtest_v1_OANDA_AUDJPY_2026-09-14 (5).xlsx,,OANDA:AUDJPY,15 minutes,Asian,Europe/London,Off,Short only,Close breakout,10,2.75,53,0,3025.9,1.0971043681578054,32.075471698113205,73.38,2.323279838451823,30.090755175942636,0.1891134602153114,2026-07-26T23:00:00,2026-09-14T20:00:00,17,1.1307835966808968,7,2.039598938273799,
AUDJPY,Strategy Tester Results/AUDJPY/ORB_ICT_Backtest_v1_OANDA_AUDJPY_2026-09-14.xlsx,,OANDA:AUDJPY,5 minutes,Asian,Europe/London,Off,Both,Close breakout,10,2.75,35,0,-7322.19,0.5332445147060698,20.0,73.22,2.1329780588242793,31.918512712957607,-0.26749458513175645,2026-07-26T23:00:00,2026-09-14T20:00:00,35,0.6727491278464118,11,0.603348266064784,
EURUSD,Strategy Tester Results/EURUSD/ORB_ICT_Backtest_v1_DERIV_EURUSD_2026-09-14 (1).xlsx,,DERIV:EURUSD,15 minutes,London,Africa/Johannesburg,On,Both,Close breakout,10,2.75,119,0,3420.99,1.0798624988327574,44.537815126050425,66.42,1.344734432508717,42.648753143871545,0.1064179900051339,2026-07-26T23:10:00,2026-09-14T19:40:00,36,1.729585809942978,11,2.5397870305240806,
EURUSD,Strategy Tester Results/EURUSD/ORB_ICT_Backtest_v1_DERIV_EURUSD_2026-09-14 (2).xlsx,,DERIV:EURUSD,30 minutes,London,Africa/Johannesburg,On,Both,Close breakout,10,2.75,171,0,-8016.88,0.6011427081706022,40.35087719298245,97.1,0.8799335293511713,53.19337010522568,-0.026465581034815812,2026-07-26T23:10:00,2026-09-14T19:40:00,33,2.3681233147950014,10,2.127117356211617,
EURUSD,Strategy Tester Results/EURUSD/ORB_ICT_Backtest_v1_DERIV_EURUSD_2026-09-14 (3).xlsx,,DERIV:EURUSD,5 minutes,London,Africa/Johannesburg,On,Long only,Close breakout,10,2.75,21,0,12266.91,1.8159366826924357,57.14285714285714,28.56,1.3619525120193268,42.337853742243965,0.5003101718614972,2026-07-26T23:10:00,2026-09-14T19:40:00,21,2.1280826535004276,4,4.533637102184635,
EURUSD,Strategy Tester Results/EURUSD/ORB_ICT_Backtest_v1_DERIV_EURUSD_2026-09-14 (4).xlsx,,DERIV:EURUSD,15 minutes,London,Africa/Johannesburg,On,Long only,Close breakout,10,2.75,56,0,8108.13,1.3176875079587418,48.214285714285715,39.73,1.4152939900297599,41.402827321558426,0.18611615473514778,2026-07-26T23:10:00,2026-09-14T19:40:00,18,2.2356625563054786,3,,
EURUSD,Strategy Tester Results/EURUSD/ORB_ICT_Backtest_v1_DERIV_EURUSD_2026-09-14 (5).xlsx,,DERIV:EURUSD,30 minutes,London,Africa/Johannesburg,On,Long only,Close breakout,10,2.75,70,0,-3178.04,0.827795310065002,41.42857142857143,75.45,1.1417866345724164,46.689991610655404,0.01119441529218616,2026-07-26T23:10:00,2026-09-14T19:40:00,16,2.2051005928949747,3,1.2600020223269905,
EURUSD,Strategy Tester Results/EURUSD/ORB_ICT_Backtest_v1_DERIV_EURUSD_2026-09-14.xlsx,,DERIV:EURUSD,5 minutes,London,Africa/Johannesburg,On,Both,Close breakout,10,2.75,36,0,4599.59,1.195742976775579,44.44444444444444,46.81,1.4946787209694736,40.08532207351267,0.21165494918774092,2026-07-26T23:10:00,2026-09-14T19:40:00,36,1.3859599996523864,11,2.1002546849485277,
GBPJPY,Strategy Tester Results/GBPJPY/ORB_ICT_Backtest_v1_FX_GBPJPY_2026-09-14 (1).xlsx,,FX:GBPJPY,30 minutes,London,Africa/Johannesburg,On,Long only,Close breakout,10,2.75,93,0,8517.32,1.1690792975092343,52.68817204301075,49.03,1.0497854916409453,48.785592642645504,0.12311338614726682,2026-07-26T23:20:00,2026-09-14T19:30:00,18,1.2554397688329202,5,0.6679981253750692,
GBPJPY,Strategy Tester Results/GBPJPY/ORB_ICT_Backtest_v1_FX_GBPJPY_2026-09-14 (2).xlsx,,FX:GBPJPY,5 minutes,London,Africa/Johannesburg,On,Both,Close breakout,10,2.75,36,0,9272.23,1.4354174992169528,52.77777777777778,43.13,1.2843209203520103,43.77668615169455,0.28390495596090826,2026-07-26T23:20:00,2026-09-14T19:30:00,36,1.6319593554934542,11,2.1786001524011382,
GBPJPY,Strategy Tester Results/GBPJPY/ORB_ICT_Backtest_v1_FX_GBPJPY_2026-09-14 (3).xlsx,,FX:GBPJPY,30 minutes,London,Africa/Johannesburg,On,Both,Close breakout,10,2.75,165,0,10637.6,1.1161326497270208,47.27272727272727,50.61,1.2449171862339847,44.545073026839546,0.10377542431889017,2026-07-26T23:20:00,2026-09-14T19:30:00,33,1.4486539464412782,10,0.7209064612644507,
GBPJPY,Strategy Tester Results/GBPJPY/ORB_ICT_Backtest_v1_FX_GBPJPY_2026-09-14 (4).xlsx,,FX:GBPJPY,5 minutes,London,Africa/Johannesburg,On,Both,Break + retest,10,2.75,24,0,12374.45,1.7755805674430964,45.83333333333333,37.09,2.098413397887296,32.27458287786473,0.46035265213211213,2026-07-26T23:20:00,2026-09-14T19:30:00,24,1.9904493335881521,6,2.9640894378199767,
